original title,body_title,body_stem_title,body_lem_title,body_desc,body_stem_desc,body_lem_desc,classification,País,Idioma,Origem,original description,Data de publicação
"Ronaldo Caiado, governador de Goias, foi espancadoem razao dos decretos de isolamento social. Galeria de fotos prova isso.",ronaldo caiado governador goias espancadoem razao decretos isolamento social galeria fotos prova,ronald cai govern goi espancado raza decret isol social gal fot prov,ronaldo caiar governador goio espancadoar razao decreto isolamento social galeria foto prova,imagens apoiam reivindica tiradas homem est sendo chutado apenas parecido,imagens apo reivind tir hom est send chut apen parec,ronaldo caiar governador goio espancadoar razao decreto isolamento social galeria foto prova,Falso,,,,,
"Governador do Maranhao, Flavio Dino, entrega cestas de alimentos a uma multidao de pobres apesar das recomendacoes de evitar aglomeracoes durante a crise do COVID-19.",governador maranhao flavio dino entrega cestas alimentos multidao pobres apesar recomendacoes evitar aglomeracoes durante crise covid,govern maranha flavi din entreg cest aliment multida pobr apes recomendaco evit aglomeraco durant cris covid,governador maranhao flavio dino entregar cesta alimento multir pobre apesar recomendaco evitar aglomeraco durante crise covid,foto homem foto n fl vio dino roberto posto prefeito pequena cidade maranh,fot hom fot n fl vio din robert post prefeit pequen cidad maranh,governador maranhao flavio dino entregar cesta alimento multir pobre apesar recomendaco evitar aglomeraco durante crise covid,Falso,,,,,
"Em mensagem do PT, Gleisi Hoffmann pede aos afiliados que boicotem o subsidio de emergencia mensal de 600 reais da COVID-19. Os eleitores do PT elegiveis devem rejeita-lo e denuncia-lo, uma vez que esta sendo pago por um governo fascista"".""",mensagem pt gleisi hoffmann pede afiliados boicotem subsidio emergencia mensal reais covid eleitores pt elegiveis devem rejeita lo denuncia lo vez sendo pago governo fascista,mensag pt gleis hoffmann ped afili boicot subsidi emergenc mensal rea covid eleitor pt elegiv dev rejeit lo denunc lo vez send pag govern fascist,mensagem pt gleisi hoffmann pedir afiliado boicotar subsidio emergencia mensal real covid eleitor pt elegivel dever rejeitar por o denuncia por o vez ser pagar governo fascista,pt assim todos partidos c mara votou favor subs dio emerg ncia covid n contra gleisi hoffmann publicou texto conta facebook negando pedido,pt assim tod part c mar vot favor subs dio emerg nci covid n contr gleis hoffmann public text cont facebook neg ped,mensagem pt gleisi hoffmann pedir afiliado boicotar subsidio emergencia mensal real covid eleitor pt elegivel dever rejeitar por o denuncia por o vez ser pagar governo fascista,Falso,,,,,
Organizacao Mundial de Saude condenou medidas de isolamento para conter o COVID-19.,organizacao mundial saude condenou medidas isolamento conter covid,organizaca mundial saud conden med isol cont covid,organizacao mundial saude condenar medida isolamento conter covid,oms n condenou isloamento durante entrevista tedros adhanom ghebreyesus reconheceu medidas bloqueio t m s rio impacto econ mico especialmente sobre pobres n disse pa ses enfoque epid mico deveriam abandon lo,oms n conden isloament durant entrev tedr adhanom ghebreyesus reconhec med bloquei t m s rio impact econ mic especial sobr pobr n diss pa ses enfoqu epid mic dev abandon lo,organizacao mundial saude condenar medida isolamento conter covid,Falso,,,,,
"Um representante do PSOL foi preso embriagado enquanto participava de uma festa durante isolamento social por conta do COVID-19 em Niteroi, no Rio de Janeiro.",representante psol preso embriagado enquanto participava festa durante isolamento social conta covid niteroi rio janeiro,represent psol pres embriag enquant particip fest durant isol social cont covid nitero rio janeir,representante psol prender embriagar enquanto participar festa durante isolamento social contar covid niteroi rio janeiro,hist ria si verdadeira homem membro psl partido bolsonaro desde final,hist ria si verdadeir hom membr psl part bolsonar desd final,representante psol prender embriagar enquanto participar festa durante isolamento social contar covid niteroi rio janeiro,Falso,,,,,
"Dois homens identificados como donos do Carrefour"" no Brasil aparecem em videos criticando as medidas de isolamento.""",dois homens identificados donos carrefour brasil aparecem videos criticando medidas isolamento,dois homens identific don carrefour brasil aparec vid critic med isol,dois homem identificar dono carrefour brasil aparecer video criticar medida isolamento,maior acionista carrefour det m menos es portanto empresa n possui nico propriet rio homens v deos n t m rela empresa,maior acion carrefour det m men es portant empres n possu nic propriet rio homens v deos n t m rel empres,dois homem identificar dono carrefour brasil aparecer video criticar medida isolamento,Falso,,,,,
"A epidemia de COVID-19 esta quase no fim na Holanda. O governo nao fechou uma unica loja. Tuitado inicialmente por um ex-ministro Bolsonaro, Osmar Terra, em 31/03/20.",epidemia covid quase fim holanda governo nao fechou unica loja tuitado inicialmente ex ministro bolsonaro osmar terra,epidem covid quas fim holand govern nao fech unic loj tuit inicial ex ministr bolsonar osmar terr,epidemia cover quase fim holanda governo em o fechar unico loja tuitar inicialmente ex ministro bolsonaro osmar terra,epidemia covid n est perto fim holanda governo holand s imp s medidas bloqueio embora leves pa ses vizinhos,epidem covid n est pert fim holand govern holand s imp s med bloquei embor lev pa ses vizinh,epidemia cover quase fim holanda governo em o fechar unico loja tuitar inicialmente ex ministro bolsonaro osmar terra,Falso,,,,,
"Video supostamente gravado em 31 de marco em que um homem mostra centro de distribuicao de alimentos em Contagem (MG) e alega escassez de alimentos em Minas Gerais causada por medidas de isolamento social. Video foi tuitado por Jair Bolsonaro, que mais tarde o excluiu.",video supostamente gravado marco homem mostra centro distribuicao alimentos contagem mg alega escassez alimentos minas gerais causada medidas isolamento social video tuitado jair bolsonaro tarde excluiu,vid supost grav marc hom mostr centr distribuica aliment contag mg aleg escassez aliment min ger caus med isol social vid tuit jair bolsonar tard exclu,video supostamente gravar marco homem mostrar centro distribuicao alimento contagem mg alegar escassez alimento mina geral causar medida isolamento social video tuitar jair bolsonaro tarde excluir,v deo encenado gravado enquanto local sendo limpo barracas alimentos n,v deo encen grav enquant local send limp barrac aliment n,video supostamente gravar marco homem mostrar centro distribuicao alimento contagem mg alegar escassez alimento mina geral causar medida isolamento social video tuitar jair bolsonaro tarde excluir,Falso,,,,,
Preso libertado por causa da epidemia de COVID-19 foi preso novamente em Campo Bom. Os policiais encontraram mais de 100 kg de cocaina em sua casa e varias armas.,preso libertado causa epidemia covid preso novamente campo bom policiais encontraram kg cocaina casa varias armas,pres libert caus epidem covid pres nov camp bom polic encontr kg cocain cas var armas,prender libertar causa epidemia cover prender novamente campo bom policial encontrar kg cocaino casa varias arma,policiais campo bom prenderam ex preso kg coca casa soltura anterior n nada ver covid verdade havia terminado mandato,polic camp bom prend ex pres kg coc cas soltur anterior n nad ver covid verdad hav termin mandat,prender libertar causa epidemia cover prender novamente campo bom policial encontrar kg cocaino casa varias arma,Falso,,,,,
"Joao Doria, governador de Sao Paulo, proibiu medicos de darem cloroquina a pacientes com COVID-19.",joao doria governador sao paulo proibiu medicos darem cloroquina pacientes covid,joa dor govern sao paul proib medic dar cloroquin pacient covid,joao dorio governador ser paulo proibir medico dar cloroquina paciente covid,autoriza uso m dico brasil n est sob jurisdi estadual federal m dicos podem prescrever cloroquina pacientes casos graves covid brasil desde mar n diferente s paulo,autoriz uso m dic brasil n est sob jurisd estadual federal m dic pod prescrev cloroquin pacient cas grav covid brasil desd mar n diferent s paul,joao dorio governador ser paulo proibir medico dar cloroquina paciente covid,Falso,,,,,
"Em 1/4/20, todos os pacientes com coronavirus de Blumenau (SC), Brasil, foram curados.",todos pacientes coronavirus blumenau sc brasil curados,tod pacient coronavirus blumenau sc brasil cur,todo paciente coronaviru blumenau sc brasil curar,havia pessoas ainda doentes covid blumenau,hav pesso aind doent covid blumenau,todo paciente coronaviru blumenau sc brasil curar,Falso,,,,,
Um empresario do Brasil se matou depois de demitir 223 funcionarios devido a atual crise.,empresario brasil matou demitir funcionarios devido atual crise,empresari brasil mat demit funcionari dev atual cris,empresario brasil matar demitir funcionario devido atual crise,hist ria aconteceu empres rio cometeu suic dio ap s demitir funcion rios n est claro motivo real j tamb m sendo processado sonega impostos,hist ria acontec empres rio comet suic dio ap s demit funcion rios n est clar motiv real j tamb m send process soneg impost,empresario brasil matar demitir funcionario devido atual crise,Falso,,,,,
"Enquanto a China construiu um hospital para 1 mil pessoas em 10 dias e todos aplaudiram, o Exercito Brasileiro construiu hospitais de campo para 2 mil pacientes com COVID-19 em apenas 48 horas e ninguem falou nada.",enquanto china construiu hospital mil pessoas dias todos aplaudiram exercito brasileiro construiu hospitais campo mil pacientes covid apenas horas ninguem falou nada,enquant chin constru hospital mil pesso dias tod aplaud exercit brasileir constru hospit camp mil pacient covid apen hor ningu fal nad,enquanto china construir hospital mil pessoa dia todo aplaudir exercito brasileiro construir hospital campo mil paciente covid apenas hora ninguem falar nada,desde in cio crise ex rcito brasileiro ajudou construir hospital campanha roraima leitos n mil demorou horas construir ainda n est aberto ex rcito tamb m come trabalhar adapta hangar servir hospital pacientes covid capacidade esperada pacientes,desd in cio cris ex rcit brasileir ajud constru hospital campanh roraim leit n mil demor hor constru aind n est abert ex rcit tamb m com trabalh adapt hang serv hospital pacient covid capac esper pacient,enquanto china construir hospital mil pessoa dia todo aplaudir exercito brasileiro construir hospital campo mil paciente covid apenas hora ninguem falar nada,Falso,,,,,
Dois arquivos de audio do WhatsApp afirmam que gangues de cerca de 30 viciados em drogas estao saqueando lojas e aterrorizando trabalhadores no centro de Sao Paulo durante isolamento social para conter a COVID-19.,dois arquivos audio whatsapp afirmam gangues cerca viciados drogas estao saqueando lojas aterrorizando trabalhadores centro sao paulo durante isolamento social conter covid,dois arquiv audi whatsapp afirm gangu cerc vic drog esta saqu loj aterroriz trabalh centr sao paul durant isol social cont covid,dois arquivo audio whatsapp afirmar gangue cerca viciar droga estar saquear loja aterrorizar trabalhador centro ser paulo durante isolamento social conter covid,crimes n registrados pol cia estado s paulo habitantes locais afirmam n ter visto nada descrito arquivo udio,crim n registr pol cia estad s paul habit loc afirm n ter vist nad descrit arquiv udi,dois arquivo audio whatsapp afirmar gangue cerca viciar droga estar saquear loja aterrorizar trabalhador centro ser paulo durante isolamento social conter covid,Falso,,,,,
"Foto de Tiago Leifert, apresentador do Big Brother Brasil, com um grupo de funcionarios da Rede Globo em um restaurante. A legenda afirma que, enquanto a Globo defende o isolamento social, os funcionarios estao em restaurantes chiques durante a epidemia da COVID-19.",foto tiago leifert apresentador big brother brasil grupo funcionarios rede globo restaurante legenda afirma enquanto globo defende isolamento social funcionarios estao restaurantes chiques durante epidemia covid,fot tiag leifert apresent big broth brasil grup funcionari red glob restaur legend afirm enquant glob defend isol social funcionari esta restaur chiqu durant epidem covid,foto tiago leifert apresentador big brother brasil grupo funcionario rede globo restaurante legenda afirmar enquanto globo defender isolamento social funcionario estar restaurante chiques durante epidemia covid,foto publicada leifert conta instagram h banner fundo diz bbb big brother brasil,fot public leifert cont instagr h bann fund diz bbb big broth brasil,foto tiago leifert apresentador big brother brasil grupo funcionario rede globo restaurante legenda afirmar enquanto globo defender isolamento social funcionario estar restaurante chiques durante epidemia covid,Falso,,,,,
"Foto de uma fila em Bom Prato (cadeia de restaurantes populares administrados pelo Estado que oferece refeicoes de baixo custo para pessoas pobres em Sao Paulo). A legenda afirma que Joao Doria, governador de Sao Paulo, abriu os restaurantes e permitiu a aglomeracao, enquanto, ao mesmo tempo, proibia a abertura do restaurante comum.",foto fila bom prato cadeia restaurantes populares administrados estado oferece refeicoes baixo custo pessoas pobres sao paulo legenda afirma joao doria governador sao paulo abriu restaurantes permitiu aglomeracao enquanto tempo proibia abertura restaurante comum,fot fil bom prat cad restaur popul administr estad oferec refeico baix cust pesso pobr sao paul legend afirm joa dor govern sao paul abriu restaur permit aglomeraca enquant temp proib abertur restaur comum,foto fila bom prato cadeia restaurante popular administrar estado oferecer refeico baixo custo pessoa pobre ser paulo legenda afirmar joao dorio governador sao paulo abrir restaurante permitir aglomeracao enquanto tempo proibir abertura restaurante comum,imagem publicada janeiro enquanto doria abriu restaurantes bom prato pessoas s podem levar comida mesma regra aplica restaurantes regulares,imag public janeir enquant dor abriu restaur bom prat pesso s pod lev com mesm regr aplic restaur regul,foto fila bom prato cadeia restaurante popular administrar estado oferecer refeico baixo custo pessoa pobre ser paulo legenda afirmar joao dorio governador sao paulo abrir restaurante permitir aglomeracao enquanto tempo proibir abertura restaurante comum,Falso,,,,,
"O governo da Paraiba, Brasil, recebeu R$ 11,6 milhoes do Governo Federal para gastar em cuidados de saude durante a crise da COVID-19. Em vez disso, esse dinheiro esta sendo gasto em apresentacoes artisticas.",governo paraiba brasil recebeu r milhoes governo federal gastar cuidados saude durante crise covid vez disso dinheiro sendo gasto apresentacoes artisticas,govern paraib brasil receb r milho govern federal gast cuid saud durant cris covid vez diss dinheir send gast apresentaco artist,governo paraiba brasil receber r milho governo federal gastar cuidado saudir durante crise covid vez de isso dinheiro ser gastar apresentaco artistico,r milh es recebidos governo ba maior parte dinheiro transferida autoridades municipais medidas preven covid restante cerca dinheiro est sendo usado departamento sa estado financiar pr prias despesas relacionadas coronav rus enquanto duas ag ncias culturais financiadas estado iniciaram projeto apoiar performances art sticas vivo on line durante bloqueio r mil ser gastos transfer ncia governo es culturais n est relacionadas,r milh es receb govern ba maior part dinheir transfer autor municip med preven covid restant cerc dinheir est send usad depart sa estad financ pr pri despes relacion coronav rus enquant duas ag nci cultur financ estad inic projet apoi performanc art stic viv on lin durant bloquei r mil ser gast transf nci govern es cultur n est relacion,governo paraiba brasil receber r milho governo federal gastar cuidado saudir durante crise covid vez de isso dinheiro ser gastar apresentaco artistico,Falso,,,,,
"Video mostra confronto entre usuarios de drogas na Cracolancia, Centro de Sao Paul, e Guarda Municipal. Na legenda, afirma-se que e isso que esta acontecendo enquanto a cidade esta em isolamento.",video mostra confronto usuarios drogas cracolancia centro sao paul guarda municipal legenda afirma acontecendo enquanto cidade isolamento,vid mostr confront usuari drog cracolanc centr sao paul guard municipal legend afirm acontec enquant cidad isol,video mostrar confronto usuario droga cracolancia centro ser paul guarda municipal legenda afirmar acontecer enquanto cidade isolamento,v deo novembro n est relacionado isolamento social covid,v deo novembr n est relacion isol social covid,video mostrar confronto usuario droga cracolancia centro ser paul guarda municipal legenda afirmar acontecer enquanto cidade isolamento,Falso,,,,,
"Deputado Federal Osmar Terra afirma que, na Italia, as politicas de isolamento social fizeram com que os casos da COVID-19 disparassem.",deputado federal osmar terra afirma italia politicas isolamento social fizeram casos covid disparassem,deput federal osmar terr afirm ital polit isol social fiz cas covid dispar,deputado federal osmar terra afirmar italia politico isolamento social fazer caso covid disparar,embora n mero casos mortes aumentado rapidamente durante primeira semana isolamento todo pa s esperado medidas quarentena aparecem apenas dias estat sticas oficiais ap s in cio acontece porque v rus per odo incuba dias resultados testes n s imediatamente relatados s autoridades,embor n mer cas mort aument rapid durant primeir seman isol tod pa s esper med quarenten aparec apen dias estat stic ofic ap s in cio acontec porqu v rus per odo incub dias result test n s imediat relat s autor,deputado federal osmar terra afirmar italia politico isolamento social fazer caso covid disparar,Falso,,,,,
Pesquisador americano Charles Lieber foi preso por vender o novo coronavirus aos chineses.,pesquisador americano charles lieber preso vender novo coronavirus chineses,pesquis american charl lieb pres vend nov coronavirus chines,pesquisador americano charle lieber prender vender novo coronavirus chinês,homem n preso vender novo coronav rus chineses preso n informar autoridades americanas trabalhando programas cient ficos chineses simultaneamente trabalhando projetos pesquisa financiados governo americano,hom n pres vend nov coronav rus chines pres n inform autor american trabalh program cient fic chines simultan trabalh projet pesquis financ govern american,pesquisador americano charle lieber prender vender novo coronavirus chinês,Falso,,,,,
"Salim Mattar, proprietario da Localiza (empresa brasileira de aluguel de carros) critica as medidas de isolamento relacionadas a COVID-19.",salim mattar proprietario localiza empresa brasileira aluguel carros critica medidas isolamento relacionadas covid,salim matt proprietari localiz empres brasileir aluguel carr critic med isol relacion covid,salim mattar proprietario localizar empresa brasileiro aluguel carro criticar medida isolamento relacionar covid,existem dois v deos diferentes mostram homens diferentes criticando medidas isolamento nenhum salim mattar,exist dois v deos diferent mostr homens diferent critic med isol nenhum salim matt,salim mattar proprietario localizar empresa brasileiro aluguel carro criticar medida isolamento relacionar covid,Falso,,,,,
"Rodrigo Maia, presidente da Camara dos Deputados, disse no Twitter que prefere ver algumas pessoas morrerem de COVID-19 antes de usar o dinheiro dos fundos publicos eleitorais para pagar pelo tratamento.",rodrigo maia presidente camara deputados disse twitter prefere ver algumas pessoas morrerem covid antes usar dinheiro fundos publicos eleitorais pagar tratamento,rodrig mai president cam deput diss twitt prefer ver algum pesso morr covid antes usar dinheir fund public eleitor pag tratament,rodrigo maia presidente camara deputado dizer twitter preferir ver algum pessoa morrer covid antes usar dinheiro fundo publico eleitoral pagar tratamento,publicado conta falsa rodrigo maia conta suspensa twitter,public cont fals rodrig mai cont suspens twitt,rodrigo maia presidente camara deputado dizer twitter preferir ver algum pessoa morrer covid antes usar dinheiro fundo publico eleitoral pagar tratamento,Falso,,,,,
Brasil foi classificado pelo Banco Mundial como o pais com melhores politicas de combate a COVID-19.,brasil classificado banco mundial pais melhores politicas combate covid,brasil classific banc mundial pais melhor polit combat covid,brasil classificado banco mundial pai bom politica combater covid,banco mundial incluiu medida espec fica minist rio economia brasil melhores pr ticas relat rio relacionado covid,banc mundial inclu med espec fic minist rio econom brasil melhor pr tic relat rio relacion covid,brasil classificado banco mundial pai bom politica combater covid,Falso,,,,,
Video mostra um suposto dono de hotel em Nova York que pulou de uma janela depois de demitir todos os seus funcionarios. O hotel faliu devido as politicas de isolamento social.,video mostra suposto dono hotel nova york pulou janela demitir todos funcionarios hotel faliu devido politicas isolamento social,vid mostr supost don hotel nov york pul janel demit tod funcionari hotel fal dev polit isol social,video mostrar suposto dono hotel novo york pular janela demitir todo funcionario hotel falir devido politico isolamento social,v deo pessoa pulou janela verdade mulher descobriu marido tendo caso m,v deo pesso pul janel verdad mulh descobr mar tend cas m,video mostrar suposto dono hotel novo york pular janela demitir todo funcionario hotel falir devido politico isolamento social,Falso,,,,,
"Fabio de Melo, famoso padre brasileiro, publicou texto criticando o isolamento social e pedindo empatia por quem precisa trabalhar.",fabio melo famoso padre brasileiro publicou texto criticando isolamento social pedindo empatia precisa trabalhar,fabi mel famos padr brasileir public text critic isol social ped empat precis trabalh,fabio melo famoso padre brasileiro publicar texto criticar isolamento social pedir empatia precisar trabalhar,texto escrito usu rio an nimo facebook n f bio melo,text escrit usu rio an nim facebook n f bio mel,fabio melo famoso padre brasileiro publicar texto criticar isolamento social pedir empatia precisar trabalhar,Falso,,,,,
"O Hospital Leonardo Da Vinci, referencia para tratamento da COVID-19 em Fortaleza (CE), Brasil, esta vazio. Um video prova"" que nao havia ninguem nas areas abertas ao publico.""",hospital leonardo vinci referencia tratamento covid fortaleza ce brasil vazio video prova nao havia ninguem areas abertas publico,hospital leonard vinc referenc tratament covid fortal ce brasil vazi vid prov nao hav ningu are abert public,hospital leonardo vinci referenciar tratamento covid fortaleza ce brasil vazio video prova nao haver ninguem area aberto publico,hall entrada hospital est vazio porque apenas funcion rios pessoas s redirecionadas outros hospitais devem estar l n hospital pessoas procuram tratamento instala apoio receber pacientes casos confirmados covid enviados outras instala es m dicas segundo site estat sticas sa cear cerca metade ocupa desse hospital particular est cheia todos pacientes covid,hall entrad hospital est vazi porqu apen funcion rios pesso s redirecion outr hospit dev estar l n hospital pesso procur tratament instal apoi receb pacient cas confirm covid envi outr instal es m dic segund sit estat stic sa cear cerc metad ocup dess hospital particul est che tod pacient covid,hospital leonardo vinci referenciar tratamento covid fortaleza ce brasil vazio video prova nao haver ninguem area aberto publico,Falso,,,,,
"Programa da RAI TV, emissora italiana, de 2015 alertou sobre a pesquisa chinesa para criar um novo coronavirus a partir de outras partes do virus. Tudo aconteceu em Wuhan.",programa rai tv emissora italiana alertou sobre pesquisa chinesa criar novo coronavirus partir outras partes virus tudo aconteceu wuhan,program rai tv emissor italian alert sobr pesquis chines cri nov coronavirus part outr part virus tud acontec wuhan,programa rai tv emissor italiano alertar sobre pesquisa chinês criar novo coronavirus partir outro parte virus tudo acontecer wuhan,programa emissora italiana rai tv publicou segmento pesquisa resultou artigo publicado nature envolvendo coronav rus rai nature negaram qualquer liga covid pesquisa al m disso embora duas pessoas envolvidas pesquisa chinesas realizada laborat rio carolina norte estados unidos todas refer ncias wuhan inseridas ap s publica v deo,program emissor italian rai tv public segment pesquis result artig public natur envolv coronav rus rai natur neg qualqu lig covid pesquis al m diss embor duas pesso envolv pesquis chines realiz laborat rio carolin nort estad unid tod ref nci wuhan inser ap s public v deo,programa rai tv emissor italiano alertar sobre pesquisa chinês criar novo coronavirus partir outro parte virus tudo acontecer wuhan,Falso,,,,,
"Foto mostra aglomeracao de pessoas na Cracolandia, Centro de Sao Paulo, supostamente durante a pandemia de coronavirus.",foto mostra aglomeracao pessoas cracolandia centro sao paulo supostamente durante pandemia coronavirus,fot mostr aglomeraca pesso cracoland centr sao paul supost durant pandem coronavirus,foto mostrar aglomeracao pessoa cracolandia centro ser paulo supostamente durante pandemia coronaviru,imagem,imag,foto mostrar aglomeracao pessoa cracolandia centro ser paulo supostamente durante pandemia coronaviru,Falso,,,,,
"Video mostra homem em frente ao Estadio do Pacaembu, em Sao Paulo, onde foi construido um hospital de campanha para pacientes com COVID-19. Ele afirma que, como nao ha movimento na entrada, ninguem esperando para entrar, tambem nao ha ninguem la dentro.",video mostra homem frente estadio pacaembu sao paulo onde construido hospital campanha pacientes covid afirma nao ha movimento entrada ninguem esperando entrar tambem nao ha ninguem la dentro,vid mostr hom frent estadi pacaembu sao paul onde constru hospital campanh pacient covid afirm nao ha moviment entrad ningu esper entrar tamb nao ha ningu la dentr,video mostrar homem frente estadio pacaembu ser paulo onde construir hospital campanha paciente covid afirmar nao ha movimento entrada ninguir esperar entrar tambem nao ha ninguar ela dentro,entrada hospital est vazia porque apenas pessoas redirecionadas outros hospitais funcion rios devem estar l n hospital pessoas procuram tratamento instala apoio receber pacientes casos confirmados covid enviados outras instala es m dicas,entrad hospital est vaz porqu apen pesso redirecion outr hospit funcion rios dev estar l n hospital pesso procur tratament instal apoi receb pacient cas confirm covid envi outr instal es m dic,video mostrar homem frente estadio pacaembu ser paulo onde construir hospital campanha paciente covid afirmar nao ha movimento entrada ninguir esperar entrar tambem nao ha ninguar ela dentro,Falso,,,,,
Numero de mortes por COVID-19 em Sao Paulo (Brasil) foi revisada: de 201 casos confirmados para apenas 26.,numero mortes covid sao paulo brasil revisada casos confirmados apenas,numer mort covid sao paul brasil revis cas confirm apen,numero morte covid ser paulo brasil revisar caso confirmar apenas,revis concentrou mortes n haviam sido causadas covid fato estarem relacionados novo coronav rus fez n mero mortes s paulo aumentasse n diminu sse,rev concentr mort n hav sid caus covid fat estar relacion nov coronav rus fez n mer mort s paul aument n diminu sse,numero morte covid ser paulo brasil revisar caso confirmar apenas,Falso,,,,,
"Um homem chamado Antonio Carlos, 67 anos, acaba de ser curado da COVID-19 usando cloroquina. Ele foi liberado do Hospital Unimed, no Rio de Janeiro (Brasil).",homem chamado antonio carlos anos acaba ser curado covid usando cloroquina liberado hospital unimed rio janeiro brasil,hom cham antoni carl anos acab ser cur covid usand cloroquin liber hospital unimed rio janeir brasil,homem chamar antonio carlo ano acabar ser curar covid usar cloroquina liberar hospital unimed rio janeiro brasil,unimed afirmou nenhum homem anos chamado antonio carlos havia sido internado hospital covid v rios perfis diferentes twitter publicaram exatamente mesma mensagem leva verificadores acreditar coordenada executada perfis automatizados bots,unimed afirm nenhum hom anos cham antoni carl hav sid intern hospital covid v rios perf diferent twitt public exat mesm mensag lev verific acredit coorden execut perf automatiz bots,homem chamar antonio carlo ano acabar ser curar covid usar cloroquina liberar hospital unimed rio janeiro brasil,Falso,,,,,
Rede de supermercados Lidl esta oferecendo 250 euros em alimentos devido a nova pandemia de coronavirus.,rede supermercados lidl oferecendo euros alimentos devido nova pandemia coronavirus,red supermerc lidl oferec eur aliment dev nov pandem coronavirus,rede supermercado lidl oferecer euro alimento devido novo pandemia coronaviru,falso esquema phishing desenvolvido roubar dados pessoais usu rios,fals esquem phishing desenvolv roub dad pesso usu rios,rede supermercado lidl oferecer euro alimento devido novo pandemia coronaviru,Falso,,,,,
Autoridades portuguesas decidiram que cada cidadao que for trabalhar deve ter uma autorizacao oficial para sair de casa.,autoridades portuguesas decidiram cada cidadao trabalhar deve ter autorizacao oficial sair casa,autor portugues decid cad cidada trabalh dev ter autorizaca oficial sair cas,autoridade português decidir cada cidadao trabalhar dever ter autorizacao oficial sair casa,n verdade governo portugu s n implementou medida,n verdad govern portugu s n implement med,autoridade português decidir cada cidadao trabalhar dever ter autorizacao oficial sair casa,Falso,,,,,
"Em e-mail enviado as principais redacoes de jornais, o governo portugues anuncia o cancelamento de projetos nos aeroportos devido as restricoes financeiras causadas pelo impacto do coronavirus.",mail enviado principais redacoes jornais governo portugues anuncia cancelamento projetos aeroportos devido restricoes financeiras causadas impacto coronavirus,mail envi princip redaco jorn govern portugu anunc cancel projet aeroport dev restrico financeir caus impact coronavirus,mail enviar principal redaco jornal governo portugues anunciar cancelamento projeto aeroporto devido restrico financeiro causar impacto coronaviru,email fraudulento n emitido governo portugu s,email fraudulent n emit govern portugu s,mail enviar principal redaco jornal governo portugues anunciar cancelamento projeto aeroporto devido restrico financeiro causar impacto coronaviru,Falso,,,,,
Governo portugues gastou muito mais do que o preco aceitavel para ventiladores.,governo portugues gastou preco aceitavel ventiladores,govern portugu gast prec aceitavel ventil,governo portugues gastar preco aceitavel ventilador,alega falsa pre est alinhados pre mercado,aleg fals pre est alinh pre merc,governo portugues gastar preco aceitavel ventilador,Falso,,,,,
Jogador de futebol portugues Cristiano Ronaldo decidiu transformar seus hoteis em hospitais gratuitos,jogador futebol portugues cristiano ronaldo decidiu transformar hoteis hospitais gratuitos,jogador futebol portugu cristian ronald decid transform hot hospit gratuit,jogador futebol portugues cristiano ronaldo decidir transformar hotel hospital gratuito,cristiano ronaldo nunca decidiu transferir hot is hospitais gratuitos,cristian ronald nunc decid transfer hot is hospit gratuit,jogador futebol portugues cristiano ronaldo decidir transformar hotel hospital gratuito,Falso,,,,,
Aplicativo Houseparty foi hackeado.,aplicativo houseparty hackeado,aplic houseparty hack,aplicativo houseparty hackear,empresa nega reivindica est oferecendo recompensa us primeiro indiv duo puder provar,empres neg reivind est oferec recompens us primeir indiv duo pud prov,aplicativo houseparty hackear,Falso,,,,,
Uma publicacao no Facebook sugere que a China criou o novo coronavirus para matar 1% da sua populacao.,publicacao facebook sugere china criou novo coronavirus matar populacao,publicaca facebook suger chin cri nov coronavirus mat populaca,publicacao facebook sugerir china criar novo coronavirus matar populacao,n h evid ncia ap ie afirma,n h evid nci ap ie afirm,publicacao facebook sugerir china criar novo coronavirus matar populacao,Falso,,,,,
Video postado no Twitter mostra um grupo de chineses se convertendo ao Isla sob o argumento de que os muculmanos sao imunes a COVID-19.,video postado twitter mostra grupo chineses convertendo isla sob argumento muculmanos sao imunes covid,vid post twitt mostr grup chines convert isla sob argument muculman sao imun covid,video postar twitter mostrar grupo chinês converter isla sob argumento muculmano ser imunes covid,alega falsa povo isl mico n imune covid,aleg fals pov isl mic n imun covid,video postar twitter mostrar grupo chinês converter isla sob argumento muculmano ser imunes covid,Falso,,,,,
Beber agua a cada 15 minutos evita o coronavirus.,beber agua cada minutos evita coronavirus,beb agu cad minut evit coronavirus,beber agua cada minuto evitar coronavirus,h algo sobre gua pot vel lista medidas precau recomendadas organiza mundial sa,h algo sobr gua pot vel list med precau recomend organiz mundial sa,beber agua cada minuto evitar coronavirus,Falso,,,,,
A auto-hemoterapia cura o COVID-19.,auto hemoterapia cura covid,aut hemoterap cur covid,auto hemoterapia cura covid,oms diz ainda n h cura covid minist rio sa brasil n aprova auto hemoterapia,oms diz aind n h cur covid minist rio sa brasil n aprov aut hemoterap,auto hemoterapia cura covid,Falso,,,,,
